iter	RMSE
0	0.2347642204
1	0.2245651391
2	0.2147206182
3	0.2057374858
4	0.1970326725
5	0.1886378914
6	0.1808537982
7	0.173440382
8	0.1664086008
9	0.1597146593
10	0.1534629384
11	0.1478849866
12	0.14219516
13	0.1369852246
14	0.1324282547
15	0.1277337524
16	0.123431428
17	0.1192834764
18	0.1153706369
19	0.1114769666
20	0.1082927341
21	0.1048394569
22	0.1018628105
23	0.09901361656
24	0.09639215744
25	0.09366044576
26	0.09156101499
27	0.08911135675
28	0.08711326985
29	0.08477291305
30	0.08338235041
31	0.08159076268
32	0.07975124624
33	0.07811617056
34	0.07641932591
35	0.07502447957
36	0.07377311146
37	0.07285640769
38	0.071591996
39	0.07047754762
40	0.06941832839
41	0.06838518069
42	0.06739027757
43	0.06650473676
44	0.06559523771
45	0.06493804025
46	0.06413414415
47	0.06335143808
48	0.06271459257
49	0.0622542766
50	0.06151992007
51	0.06087420661
52	0.06048255517
53	0.05987634754
54	0.05936994523
55	0.05875390849
56	0.05842170093
57	0.05795748586
58	0.05771952134
59	0.05735794929
60	0.05699024952
61	0.05671399447
62	0.05640544898
63	0.0561548527
64	0.05592559871
65	0.0556272859
66	0.05540601149
67	0.05520772883
68	0.05513680683
69	0.05487213889
70	0.05461132979
71	0.05440192002
72	0.05413624909
73	0.05396945851
74	0.05378531529
75	0.05361517318
76	0.05340935926
77	0.05318167038
78	0.05305012816
79	0.05298568119
80	0.0529016303
81	0.05273052265
82	0.05262758489
83	0.05242372485
84	0.05229791247
85	0.05212974427
86	0.05195092509
87	0.05181801136
88	0.05171764865
89	0.05154492499
90	0.05137908634
91	0.05128710996
92	0.05105768666
93	0.05087891133
94	0.05078817609
95	0.05068444241
96	0.05055565658
97	0.05047111555
98	0.0503846575
99	0.05032354794
100	0.05023732836
101	0.05017701355
102	0.050107939
103	0.04997671485
104	0.04986194057
105	0.04969983454
106	0.04959531414
107	0.04954666209
108	0.04942267949
109	0.04934895695
110	0.04927834533
111	0.04922056359
112	0.04907381906
113	0.04903548974
114	0.04899216469
115	0.04884226285
116	0.04876500572
117	0.04867742411
118	0.04862021854
119	0.04849072716
120	0.04842536094
121	0.04834382831
122	0.04822680005
123	0.04816899675
124	0.04813792293
125	0.04806290803
126	0.04803581192
127	0.04792348149
128	0.04774630155
129	0.04771834542
130	0.04759276943
131	0.04754613308
132	0.04751894688
133	0.04734467314
134	0.04726600468
135	0.04720473499
136	0.04714597009
137	0.04703840247
138	0.04703655389
139	0.04702202347
140	0.04701564963
141	0.04692176952
142	0.0468804936
143	0.04673312108
144	0.04664957891
145	0.04660136477
146	0.04654383235
147	0.04644612116
148	0.0463650556
149	0.04631902578
150	0.0462676568
151	0.04617408154
152	0.04612065779
153	0.04607437153
154	0.04602362192
155	0.04594579523
156	0.04590528538
157	0.04587529414
158	0.04585018182
159	0.04571285713
160	0.04560904037
161	0.04556607891
162	0.04548847494
163	0.04540910969
164	0.04534744847
165	0.04529504087
166	0.04520968856
167	0.04516181904
168	0.04510549288
169	0.04504207359
170	0.04500109852
171	0.04497129593
172	0.04492947765
173	0.04485099879
174	0.04483703741
175	0.04478185648
176	0.04471864084
177	0.04464495481
178	0.04457360454
179	0.04456192404
180	0.04451295046
181	0.04448221843
182	0.04447655957
183	0.04442878836
184	0.04438406904
185	0.04432320444
186	0.04425759192
187	0.04415487797
188	0.04404540032
189	0.04400233722
190	0.04390263255
191	0.04386473757
192	0.04384241911
193	0.0437920684
194	0.04373243367
195	0.04367190836
196	0.04360960104
197	0.04354490242
198	0.04348507035
199	0.04344598103
200	0.043390453
201	0.04336961419
202	0.04333037237
203	0.04330495699
204	0.04330192411
205	0.04324346013
206	0.04321849827
207	0.04315795854
208	0.04312260144
209	0.04302797104
210	0.04300396301
211	0.04297808688
212	0.0429043118
213	0.04285370935
214	0.04281380948
215	0.04273912331
216	0.04269533978
217	0.04267061336
218	0.04260799895
219	0.04259190525
220	0.04250570047
221	0.04243266501
222	0.04239644047
223	0.04237386821
224	0.04233448958
225	0.04228989852
226	0.04217778273
227	0.04214893845
228	0.04211119156
229	0.04206397036
230	0.04200225884
231	0.04196092032
232	0.04185937093
233	0.04183087841
234	0.0418085936
235	0.04176949881
236	0.0417360936
237	0.04170353923
238	0.04166602348
239	0.04164526357
240	0.04162103932
241	0.04157751592
242	0.0415209783
243	0.0414762527
244	0.04142931762
245	0.041401954
246	0.04133756453
247	0.0412899362
248	0.04124062428
249	0.04120907085
250	0.04117290763
251	0.0411390241
252	0.04109271506
253	0.04107924635
254	0.0410123472
255	0.04095053009
256	0.04090585053
257	0.04086296941
258	0.04081476609
259	0.04077077614
260	0.04073079989
261	0.04069057014
262	0.04065744764
263	0.04061096551
264	0.04058451484
265	0.04052016795
266	0.04046459554
267	0.04039763812
268	0.04037975557
269	0.04035531186
270	0.04031737916
271	0.04029457758
272	0.04025544184
273	0.04022513519
274	0.0401741156
275	0.04013755987
276	0.04010066838
277	0.0400829825
278	0.04005478268
279	0.04003114585
280	0.03999029863
281	0.03993548983
282	0.03991779851
283	0.03988707634
284	0.03985786986
285	0.03983667405
286	0.03980750908
287	0.03978963923
288	0.03976321626
289	0.03973750449
290	0.03970070824
291	0.03968805913
292	0.03966094967
293	0.03961012048
294	0.03959175097
295	0.03955883325
296	0.0395108195
297	0.03947336681
298	0.03944067934
299	0.03940481467
300	0.03938092858
301	0.03935788913
302	0.03932520129
303	0.03930532822
304	0.03926870448
305	0.03924154528
306	0.03918338271
307	0.03915871886
308	0.03914329006
309	0.03909920638
310	0.03907932597
311	0.03904818288
312	0.03902406652
313	0.03900954686
314	0.03899310367
315	0.03893564057
316	0.03888060475
317	0.03884318261
318	0.03881856228
319	0.03879190077
320	0.03877085737
321	0.03873698905
322	0.03871628566
323	0.03868115581
324	0.03864866928
325	0.03860440704
326	0.03858460965
327	0.03854645864
328	0.03852742413
329	0.03846806066
330	0.03845226448
331	0.0384306195
332	0.03840023192
333	0.03836887022
334	0.03832899487
335	0.0383210965
336	0.03829929496
337	0.03827057515
338	0.03823838714
339	0.03820639874
340	0.03817725617
341	0.03814709362
342	0.03813736752
343	0.03811637649
344	0.03807603362
345	0.03804877343
346	0.03802368788
347	0.0380089376
348	0.03798915063
349	0.03795868077
350	0.03792176484
351	0.03789738178
352	0.03785840041
353	0.03783657103
354	0.03782299641
355	0.03780188976
356	0.03778177501
357	0.03773806547
358	0.03771287602
359	0.03768464232
360	0.03764937779
361	0.03760518754
